Type,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,,231.917,67.284,44,98,0,0
2,12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_144.vsi - GFP; TRITC - C=1:144-ES:c:2/2 z:23/40 - GFP; TRITC,372.058,557.68,174,825,207489.262,24692937
3,12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_144.vsi - GFP; TRITC - C=1:144-MEF:c:2/2 z:23/40 - GFP; TRITC,221.623,457.035,170,688,101289.638,12054304
4,12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_144.vsi - GFP; TRITC - C=1:144-unfusedES:c:2/2 z:23/40 - GFP; TRITC,330.364,1204.994,363,1628,398086.261,47375555
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_143.vsi - GFP, TRITC - C=1:c:2/2 z:25/37 - GFP, TRITC",398.16,107.549,66,179,42821.882,3261541
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_143.vsi - GFP, TRITC - C=1:143-ES:c:2/2 z:25/37 - GFP, TRITC",175.776,582.558,198,824,102399.414,7799281
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_143.vsi - GFP, TRITC - C=1:143-MEF:c:2/2 z:25/37 - GFP, TRITC",146.025,509.306,260,880,74371.227,5664506
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_143.vsi - GFP, TRITC - C=1:143-unfusedES:c:2/2 z:25/37 - GFP, TRITC",116.378,2396.958,1077,3038,278954.34,21246638
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_141.vsi - GFP, TRITC - C=1:c:2/2 z:23/39 - GFP, TRITC",172.425,96.035,50,151,16558.884,1970644
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_141.vsi - GFP, TRITC - C=1:141-ES:c:2/2 z:23/39 - GFP, TRITC",401.468,486.782,223,716,195427.377,23257473
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_141.vsi - GFP, TRITC - C=1:141-MEF:c:2/2 z:23/39 - GFP, TRITC",211.288,407.158,166,653,86027.496,10237983
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_141.vsi - GFP, TRITC - C=1:141-unfusedES:c:2/2 z:23/39 - GFP, TRITC",159.611,687.642,325,968,109755.083,13061762
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_140.vsi - GFP, TRITC - C=1:c:2/2 z:23/38 - GFP, TRITC",246.033,82.558,51,147,20311.951,2417290
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_140.vsi - GFP, TRITC - C=1:140-ES:c:2/2 z:23/38 - GFP, TRITC",236,300.402,162,467,70895.051,8437097
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_140.vsi - GFP, TRITC - C=1:140-MEF:c:2/2 z:23/38 - GFP, TRITC",202.49,494.856,177,769,100203.545,11925050
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_140.vsi - GFP, TRITC - C=1:140-unfusedES:c:2/2 z:23/38 - GFP, TRITC",135.26,1270.506,417,1735,171847.99,20451331
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_139.vsi - GFP, TRITC - C=1:c:2/2 z:25/40 - GFP, TRITC",252.966,92.003,62,151,23273.669,2769759
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_139.vsi - GFP, TRITC - C=1:139-ES:c:2/2 z:25/40 - GFP, TRITC",265.889,420.208,214,600,111728.652,13296633
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_139.vsi - GFP, TRITC - C=1:139-MEF:c:2/2 z:25/40 - GFP, TRITC",239.345,681.987,245,1112,163230.017,19425721
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_139.vsi - GFP, TRITC - C=1:139-unfusedES:c:2/2 z:25/40 - GFP, TRITC",104.699,1160.727,393,1575,121526.552,14462664
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_116.vsi - GFP, TRITC - C=1:c:2/2 z:55/78 - GFP, TRITC",183.517,54.813,30,95,10059.075,1197113
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_116.vsi - GFP, TRITC - C=1:116-ES:c:2/2 z:56/78 - GFP, TRITC",463.102,476.215,195,846,220536.449,26245660
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_116.vsi - GFP, TRITC - C=1:116-MEF:c:2/2 z:56/78 - GFP, TRITC",149.065,569.263,271,792,84857.376,10098729
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_116.vsi - GFP, TRITC - C=1:116-unfusedES:c:2/2 z:56/78 - GFP, TRITC",92.868,1358.718,668,1694,126180.724,15016549
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_117.vsi - GFP, TRITC - C=1:c:2/2 z:68/85 - GFP, TRITC",308.802,42.966,23,69,13268.137,1579018
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_117.vsi - GFP, TRITC - C=1:117-ES:c:2/2 z:68/85 - GFP, TRITC",390.746,705.911,204,1084,275831.987,32826286
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_117.vsi - GFP, TRITC - C=1:117-MEF:c:2/2 z:68/85 - GFP, TRITC",128.327,453.732,186,673,58226.15,6929393
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_117.vsi - GFP, TRITC - C=1:117-unfusedES:c:2/2 z:62/85 - GFP, TRITC",69.037,566.276,291,751,39094.125,4652524
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_142.vsi - GFP, TRITC - C=1:c:2/2 z:30/47 - GFP, TRITC",247.751,118.634,83,156,29391.722,2238629
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_142.vsi - GFP, TRITC - C=1:142-ES:c:2/2 z:31/47 - GFP, TRITC",368.134,593.133,319,940,218352.181,16630857
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_142.vsi - GFP, TRITC - C=1:142-MEF:c:2/2 z:26/47 - GFP, TRITC",182.905,485.123,218,703,88731.325,6758247
4,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_142.vsi - GFP, TRITC - C=1:142-unfusedES:c:2/2 z:26/47 - GFP, TRITC",158.117,1041.659,492,1405,164703.674,12544703
,,,,,,,
1,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_142.vsi - GFP, TRITC - C=1:c:2/2 z:28/47 - GFP, TRITC",356.987,116.705,75,184,41662.18,3173212
2,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_142.vsi - GFP, TRITC - C=1:c:2/2 z:28/47 - GFP, TRITC",165.679,1184.095,591,1780,196179.928,14942101
3,"12-11-25 Plate F. Villafranca 500k+1mil_Multichannel Z-Stack_20251112_142.vsi - GFP, TRITC - C=1:c:2/2 z:28/47 - GFP, TRITC",125.044,1152.853,492,1542,144157.176,10979773
